School Type,Campus Name,District Name,Total Score,Overall Grade,County Name,NCESSCH,LAT,LONG,ZIP
MIDDLE,6TH GRADE CENTER,GREENVILLE ISD,33.3,D+,HUNT,482172005738,33.124748,-96.113101,75401
HIGH,A & M CONS H S,COLLEGE STATION ISD,60.1,B,BRAZOS,480735000001,30.591777,-96.316423,77840
MIDDLE,A & M CONSOLIDATED MIDDLE,COLLEGE STATION ISD,43.5,C+,BRAZOS,480735008712,30.612051,-96.327234,77840
ELEMENTARY,A B DUNCAN EL,FLOYDADA ISD,30.1,D-,FLOYD,481944001801,33.975419,-101.331122,79235
MIDDLE,A C BLUNT MIDDLE,ARANSAS PASS ISD,30.7,D,SAN PATRICIO,480858000225,27.91595,-97.17082,78336
HIGH,A C JONES H S,BEEVILLE ISD,42.6,D+,BEE,480972000442,28.41929,-97.753097,78102
ELEMENTARY,A E BUTLER INT,QUINLAN ISD,34.4,D,HUNT,483624004074,32.905894,-96.131093,75474
ELEMENTARY,A G ELDER EL,JOSHUA ISD,48.9,C+,JOHNSON,482493006126,32.455647,-97.378806,76058
MIDDLE,A LEAL JR MIDDLE,HARLANDALE ISD,34.9,D+,BEXAR,482247002251,29.368974,-98.52129,78211
ELEMENTARY,A M OCHOA EL,DONNA ISD,35.4,D,HIDALGO,481739001496,26.165312,-98.052227,78537
ELEMENTARY,A M PATE EL,FORT WORTH ISD,23.6,F,TARRANT,481970001898,32.707472,-97.252545,76119
HIGH,A MACEO SMITH NEW TECH H S,DALLAS ISD,57.3,B-,DALLAS,481623001204,32.692493,-96.765596,75241
ELEMENTARY,A N RICO EL,WESLACO ISD,46.9,C+,HIDALGO,484496007002,26.179499,-97.955778,78596
ELEMENTARY,A P BEUTEL EL,BRAZOSPORT ISD,56.6,B,BRAZORIA,481119000580,29.034057,-95.430273,77566
MIDDLE,A P SOLIS MIDDLE,DONNA ISD,51.2,B,HIDALGO,481739017037,26.16213,-98.058057,78537
ELEMENTARY,A V CATO EL,CASTLEBERRY ISD,37.1,D,TARRANT,481317000815,32.76918,-97.387178,76114
ELEMENTARY,A W BROWN - F L A EARLY CHILDHOOD CAMPUS,A W BROWN-FELLOWSHIP LEADERSHIP ACADEMY,28.4,F,DALLAS,480009510550,32.663571,-96.882213,75237
MIDDLE,A+ SECONDARY SCHOOL,A+ ACADEMY,40.6,C,DALLAS,480020313579,32.707038,-96.650745,75217
ELEMENTARY,AARON PARKER EL,NORTH LAMAR ISD,42.2,C-,LAMAR,483301003665,33.813898,-95.521678,75473
ELEMENTARY,AB HARRISON INT,WYLIE ISD,63,B+,COLLIN,484653007224,33.003315,-96.540162,75098
ELEMENTARY,ABBETT EL,GARLAND ISD,50,B-,DALLAS,482034006706,32.969609,-96.63811,75044
ELEMENTARY,ABBOTT SCHOOL,ABBOTT ISD,47.8,C+,HILL,480738000006,31.883393,-97.07685,76621
HIGH,ABBOTT SCHOOL,ABBOTT ISD,55.7,B-,HILL,480738000006,31.883393,-97.07685,76621
MIDDLE,ABBOTT SCHOOL,ABBOTT ISD,49.5,B,HILL,480738000006,31.883393,-97.07685,76621
MIDDLE,ABELL J H,MIDLAND ISD,34.9,D+,MIDLAND,483057005118,32.009693,-102.16108,79707
ELEMENTARY,ABERNATHY EL,ABERNATHY ISD,49,C+,HALE,480741000007,33.831202,-101.847156,79311
HIGH,ABERNATHY H S,ABERNATHY ISD,63.8,B+,HALE,480741000008,33.830007,-101.845318,79311
MIDDLE,ABERNATHY MIDDLE,ABERNATHY ISD,38.7,C,HALE,480741000009,33.831025,-101.845579,79311
HIGH,ABILENE H S,ABILENE ISD,56.7,B-,TAYLOR,480744000010,32.455757,-99.755994,79603
ELEMENTARY,ACADEMY AT CARRIE F THOMAS,BIRDVILLE ISD,53.4,B-,TARRANT,481023000486,32.848391,-97.205559,76180
HIGH,ACADEMY H S,ACADEMY ISD,57.9,B-,BELL,480747000040,30.982934,-97.345646,76554
ELEMENTARY,ACADEMY INT,ACADEMY ISD,56.8,B,BELL,480747000039,30.982482,-97.349074,76554
MIDDLE,ACADEMY J H,ACADEMY ISD,53.9,B+,BELL,480747006348,30.98085,-97.349181,76554
ELEMENTARY,ACADEMY OF ACCELERATED LEARNING,ACADEMY OF ACCELERATED LEARNING INC,44.6,C,HARRIS,480003208585,29.668053,-95.311036,77087
ELEMENTARY,ACADEMY OF DALLAS,ACADEMY OF DALLAS,24.6,F,DALLAS,480009008161,32.687938,-96.839013,75232
